Date,GOES_class,Start_time,End_time,Instrument,Wavelength,dBIC_0v1,dBIC_0v2,dBIC_2v1,Detection,rchi2_m0,probability_m0,rchi2_m1,probability_m1,rchi2_m2,probability_m2,period,width,Flags
20131026,M1.5,091701,094758,GOES,1-8A,-4.30006,-8.51264,4.212581,No,0.91341733094382815,0.73405367502592911,0.87403927181111207,0.82647381246161444,0.91384965296549647,0.73240204725988978,,,[]
20131026,M1.8,104800,113359,GOES,1-8A,13.60989,-3.99870,17.60860,Yes,1.3457710114107688,0.0018853954505988835,1.2227833566340409,0.026343616547525366,1.2684628971169554,0.010721783632871624,50.0,0.22038836266108572,['B0']
20131026,M3.1,192400,192958,GOES,1-8A,23.00441,23.40671,-0.40230,No,1.633519586149486,0.032896360064617498,1.0443771851095816,0.40361514325501813,1.0846808145829288,0.35627606252344812,298.9,0.24779801790729011,['S']
20131026,M1.0,194901,195759,GOES,1-8A,-6.68708,-0.95426,-5.73282,No,0.96036018046612337,0.53105618243473451,0.82061197296090249,0.74989366171720939,0.85709922456678678,0.6964370408311531,,,[]
20131027,M3.5,123600,125159,GOES,1-8A,34.74852,7.296013,27.45250,Yes,1.7772954601988395,0.00024767691523531864,1.268016031422889,0.083204506903533162,2.0140531103479709,8.2891008212492423e-06,16.8,0.050000000000000003,"['B0', 'B2']"
20131028,X1.0,014100,021159,GOES,1-8A,21.39776,9.100454,12.29730,Yes,1.5100853703500572,0.00037704762476848601,1.4515993181931715,0.0012653000972102143,1.555546126518403,0.00014759426112246336,25.9,0.25,"['B0', 'B1', 'B2']"
20131028,M5.1,043200,044558,GOES,1-8A,-9.23881,20.35984,-29.5986,No,1.11792276467623,0.26222020013859854,0.99943704126455246,0.47444838607916973,0.77768037031428494,0.8725641451517071,,,[]
20131028,M1.4,113201,123859,GOES,1-8A,-10.7930,-12.9709,2.177883,No,0.8926000263883328,0.88552951341260222,0.88720949038699781,0.89715719556868989,0.89824570453718955,0.87173555281801185,,,[]
20131028,M2.8,140001,141159,GOES,1-8A,11.08457,11.08404,0.000527,No,0.83923424564004345,0.76397207301552805,0.76746199203256515,0.86316066463204677,0.7740312616240026,0.85591087460539361,19.6,0.25,[]
20131028,M2.7,144601,150359,GOES,1-8A,-2.56894,1.764501,-4.33345,No,1.0936186659376876,0.28201617004021196,1.1189577029927102,0.23926753106743587,1.118465996418851,0.23971716636096418,,,[]
20131028,M4.4,150701,152058,GOES,1-8A,-5.02618,-6.03057,1.004381,No,0.90535190779755603,0.66442062024717707,0.89783899345208318,0.6774244667283067,0.92092417880361555,0.63274468119808835,,,[]
20131028,M1.5,204800,210158,GOES,1-8A,-9.77559,-2.45748,-7.31811,No,0.68971705912584891,0.95130482837558084,0.61441576018533883,0.98368684722464939,0.60015669851024434,0.98748105029328903,,,[]
20131029,X2.3,214200,220059,GOES,1-8A,94.68985,46.92618,47.76367,Yes,2.0878409885224674,3.1939708682995425e-07,1.2942203867785671,0.051542665777000139,1.4789379687195727,0.0061258093423450996,43.9,0.25,"['B0', 'B2']"
20131031,M1.9,133600,140158,GOES,1-8A,0.094978,0.779135,-0.68415,No,1.5032897937305634,0.0011329231129351182,1.3999239445902931,0.0064361692853212461,1.4993391785857511,0.0012456447175880942,49.8,0.25,"['B0', 'B1', 'B2']"
20131101,M6.3,194600,195759,GOES,1-8A,20.58643,12.87038,7.716054,No,1.2149941251244181,0.15708281722700829,0.8587681602843571,0.72947400945977137,1.0145956953802695,0.44462793973839027,14.5,0.25,[]
20131102,M1.6,221301,222458,GOES,1-8A,87.59557,33.44507,54.15050,Yes,1.2562349234084713,0.12038339713664183,0.98732045994309003,0.49450759285564272,1.0878189122866224,0.32047552427065934,13.2,0.22426122757930289,[]
20131103,M5.0,051600,052558,GOES,1-8A,8.472500,9.234885,-0.76238,No,1.0063535840948927,0.45797860562837756,0.66220586284841554,0.93788746411388235,0.74083582023515759,0.86919587382179286,15.0,0.25,[]
